workload,seed,query_id,algorithm,latency_ms,recall_at_10,valid_result_rate,exact_subset_size,subset_size_estimate,subset_estimate_error,estimate_num_cells,estimate_avg_cell_size,query_window_width,price_range_width,category_present,candidate_count,filtered_out_count,visited_partitions,ann_expansion_rounds,exact_distance_computations,planner_type,planner_mode,planner_feature_subset_size,planner_feature_num_cells,planner_feature_avg_cell_size,planner_feature_query_window_width,planner_feature_price_range_width,planner_feature_category_present,planner_feature_active_records,planner_feature_tombstoned_records,planner_feature_tombstone_ratio,planner_feature_open_ended_fraction,planner_feature_fragmentation_score,best_mode,best_mode_latency_ms,best_mode_recall_at_10,planner_matched_best_mode,planner_latency_regret,planner_recall_gap,active_records,tombstoned_records,tombstone_ratio,rebuild_count,cell_rebuild_count,maintenance_rebuild_count,maintenance_cell_rebuild_count,compaction_count,deleted_record_count,expired_record_count,open_ended_fraction,index_visible_size
static_n5000_d32,11,10,global_filter,2.8318999684415758,0.2,1.0,39,41.05786497414442,0.0527657685678057,21,2.4761904761904763,18,9.71717955142654,0,200,198,0,5,2,,,,,,,,0,,,,,,partition_ann,0.16280001727864146,1.0,0,0.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
static_n5000_d32,11,10,partition_ann,0.16280001727864146,1.0,1.0,39,41.05786497414442,0.0527657685678057,21,2.4761904761904763,18,9.71717955142654,0,52,13,21,0,39,,,,,,,,0,,,,,,partition_ann,0.16280001727864146,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,10,hybrid,0.1534000039100647,1.0,1.0,39,41.05786497414442,0.0527657685678057,21,2.4761904761904763,18,9.71717955142654,0,52,13,21,0,39,RuleBasedPlanner,partition_ann,41.05786497414442,21,2.4761904761904763,18,9.71717955142654,0,5000,0,0.0,0.0,0.5114732588561153,partition_ann,0.16280001727864146,1.0,1,-0.05773963372797503,0.0,5000.0,0.0,0.0,1.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,11,exact,0.32789999386295676,1.0,1.0,4,4.0,0.0,3,1.3333333333333333,18,9.717179551426543,1,4,4996,0,0,4,,,,,,,,0,,,,,,partition_ann,0.06920000305399299,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,11,global_filter,2.5382000021636486,0.25,1.0,4,4.0,0.0,3,1.3333333333333333,18,9.717179551426543,1,200,199,0,5,1,,,,,,,,0,,,,,,partition_ann,0.06920000305399299,1.0,0,0.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
static_n5000_d32,11,11,partition_ann,0.06920000305399299,1.0,1.0,4,4.0,0.0,3,1.3333333333333333,18,9.717179551426543,1,4,0,3,0,4,,,,,,,,0,,,,,,partition_ann,0.06920000305399299,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,11,hybrid,0.33790001180022955,1.0,1.0,4,4.0,0.0,3,1.3333333333333333,18,9.717179551426543,1,4,4996,0,0,4,RuleBasedPlanner,exact,4.0,3,1.3333333333333333,18,9.717179551426543,1,5000,0,0.0,0.0,0.75,partition_ann,0.06920000305399299,1.0,0,3.882947931903769,0.0,5000.0,0.0,0.0,1.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,12,exact,0.37429999792948365,1.0,1.0,22,24.302496919083286,0.10465895086742207,14,1.8571428571428572,18,9.71717955142654,0,22,4978,0,0,22,,,,,,,,0,,,,,,partition_ann,0.14109996845945716,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,12,global_filter,2.5658999802544713,0.4,1.0,22,24.302496919083286,0.10465895086742207,14,1.8571428571428572,18,9.71717955142654,0,200,196,0,5,4,,,,,,,,0,,,,,,partition_ann,0.14109996845945716,1.0,0,0.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
static_n5000_d32,11,12,partition_ann,0.14109996845945716,1.0,1.0,22,24.302496919083286,0.10465895086742207,14,1.8571428571428572,18,9.71717955142654,0,26,4,14,0,22,,,,,,,,0,,,,,,partition_ann,0.14109996845945716,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,12,hybrid,0.39599998854100704,1.0,1.0,22,24.302496919083286,0.10465895086742207,14,1.8571428571428572,18,9.71717955142654,0,22,4978,0,0,22,RuleBasedPlanner,exact,24.302496919083286,14,1.8571428571428572,18,9.71717955142654,0,5000,0,0.0,0.0,0.5760724935636817,partition_ann,0.14109996845945716,1.0,0,1.806520744579694,0.0,5000.0,0.0,0.0,1.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,13,exact,0.3540999605320394,1.0,1.0,6,6.668162743714855,0.11136045728580912,5,2.0,18,9.717179551426547,1,6,4994,0,0,6,,,,,,,,0,,,,,,partition_ann,0.09029998909682035,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,13,global_filter,2.5488000246696174,0.0,1.0,6,6.668162743714855,0.11136045728580912,5,2.0,18,9.717179551426547,1,200,200,0,5,0,,,,,,,,0,,,,,,partition_ann,0.09029998909682035,1.0,0,0.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
static_n5000_d32,11,13,partition_ann,0.09029998909682035,1.0,1.0,6,6.668162743714855,0.11136045728580912,5,2.0,18,9.717179551426547,1,10,4,5,0,6,,,,,,,,0,,,,,,partition_ann,0.09029998909682035,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,13,hybrid,0.3586999955587089,1.0,1.0,6,6.668162743714855,0.11136045728580912,5,2.0,18,9.717179551426547,1,6,4994,0,0,6,RuleBasedPlanner,exact,6.668162743714855,5,2.0,18,9.717179551426547,1,5000,0,0.0,0.0,0.7498317290940149,partition_ann,0.09029998909682035,1.0,0,2.9723149376475337,0.0,5000.0,0.0,0.0,1.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
